a,b,x,y,iteration
241.32395154250582,432.8655154736918,-1.8658617926471328,-17.4116253600979,0
164.00187059111119,291.26927415311764,-1.7937113689166848,-2.902745649761414,1
147.79360316911462,262.33825808057503,-1.7760119022014635,-0.1449402170124472,2
146.92505942888957,260.7961396983273,-1.7750312087620688,-0.00042613717334916146,3
146.92249526507453,260.7915882312497,-1.7750283083911245,-3.718525931617478e-09,4
146.92249524269903,260.7915881915325,-1.775028308365815,0.0,5
